System ID,Deutsch,English,le français,日本語,русский язык,中文
30000001,Tanoo,Tanoo,Tanoo,タヌー,Tanoo,坦欧
30000002,Lashesih,Lashesih,Lashesih,ラシェシ,Lashesih,拉什希亚
30000003,Akpivem,Akpivem,Akpivem,アクピベム,Akpivem,埃克葡温姆
30000004,Jark,Jark,Jark,ジャーク,Jark,加尔克
30000005,Sasta,Sasta,Sasta,サスタ,Sasta,萨斯塔
30000006,Zaid,Zaid,Zaid,ザイド,Zaid,扎得
30000007,Yuzier,Yuzier,Yuzier,ユージア,Yuzier,耶泽尔
30000008,Nirbhi,Nirbhi,Nirbhi,ニルビ,Nirbhi,尼尔比
30000009,Sooma,Sooma,Sooma,スーマ,Sooma,苏马
30000010,Chidah,Chidah,Chidah,チダー,Chidah,赤达夫
30000011,Shenela,Shenela,Shenela,シェネラ,Shenela,舍勒拉
30000012,Asabona,Asabona,Asabona,アサボナ,Asabona,埃萨伯纳
30000013,Onsooh,Onsooh,Onsooh,オンスー,Onsooh,昂苏
30000014,Shamahi,Shamahi,Shamahi,シャマヒ,Shamahi,沙玛希
30000015,Sendaya,Sendaya,Sendaya,センダヤ,Sendaya,森达雅
30000016,Nazhgete,Nazhgete,Nazhgete,ナズジート,Nazhgete,纳泽格特
30000017,Futzchag,Futzchag,Futzchag,フツチャグ,Futzchag,弗茨查格
30000018,Kazna,Kazna,Kazna,カズナ,Kazna,卡兹纳
30000019,Podion,Podion,Podion,ポディオン,Podion,波迪恩
30000020,Lilmad,Lilmad,Lilmad,リルマド,Lilmad,里尔玛的
30000021,Kuharah,Kuharah,Kuharah,クハラー,Kuharah,库哈拉赫
30000022,Jayneleb,Jayneleb,Jayneleb,ジェイネレブ,Jayneleb,杰尼勒布
30000023,Fovihi,Fovihi,Fovihi,フォービイ,Fovihi,夫维希
30000024,Kiereend,Kiereend,Kiereend,キエレンド,Kiereend,加冷德
30000025,Rashy,Rashy,Rashy,ラシー,Rashy,拉谢尔
30000026,Ordize,Ordize,Ordize,オーディズ,Ordize,厄尔戴斯
30000027,Psasa,Psasa,Psasa,プササ,Psasa,帕萨沙
30000028,Eshtah,Eshtah,Eshtah,エシュター,Eshtah,伊什塔
30000029,Lachailes,Lachailes,Lachailes,ラチャイルズ,Lachailes,拉彻列斯
30000030,Kasrasi,Kasrasi,Kasrasi,カスラシ,Kasrasi,卡斯拉斯
30000031,Mohas,Mohas,Mohas,モハス,Mohas,莫哈瑟
30000032,Hasiari,Hasiari,Hasiari,ハシアリ,Hasiari,哈斯那利
30000033,Radima,Radima,Radima,ラディマ,Radima,瑞蒂玛
30000034,Alkez,Alkez,Alkez,アルケズ,Alkez,阿克兹
30000035,Nimambal,Nimambal,Nimambal,ニマムバル,Nimambal,尼曼巴尔
30000036,Yishinoon,Yishinoon,Yishinoon,イシヌーン,Yishinoon,伊什农
30000037,Uplingur,Uplingur,Uplingur,アプリンガー,Uplingur,尤普林古尔
30000038,Dooz,Dooz,Dooz,ドーズ,Dooz,多泽
30000039,Bayuka,Bayuka,Bayuka,バユカ,Bayuka,巴宇卡
30000040,Uzistoon,Uzistoon,Uzistoon,ウジストゥーン,Uzistoon,乌兹斯图恩
30000041,Bairshir,Bairshir,Bairshir,ベルシア,Bairshir,巴尔士尔
30000042,Moh,Moh,Moh,モー,Moh,摩亚
30000043,Sari,Sari,Sari,サリ,Sari,萨里
30000044,Faspera,Faspera,Faspera,ファスペラ,Faspera,法斯佩拉
30000045,Jaymass,Jaymass,Jaymass,ジェイマス,Jaymass,亚玛斯
30000046,Mifrata,Mifrata,Mifrata,ミフラタ,Mifrata,米弗拉塔
30000047,Majamar,Majamar,Majamar,マジャマル,Majamar,玛加玛尔
30000048,Ihal,Ihal,Ihal,イハル,Ihal,伊哈尔
30000049,Camal,Camal,Camal,カマル,Camal,加莫尔
30000050,Fera,Fera,Fera,フェラ,Fera,法瑞亚
30000051,Juddi,Juddi,Juddi,ジュッディ,Juddi,朱迪
30000052,Maspah,Maspah,Maspah,マスパー,Maspah,玛斯帕
30000053,Ibaria,Ibaria,Ibaria,イバリア,Ibaria,伊巴利亚
30000054,Shala,Shala,Shala,シャラ,Shala,莎拉
30000055,Zemalu,Zemalu,Zemalu,ゼマル,Zemalu,泽玛鲁
30000056,Khankenirdia,Khankenirdia,Khankenirdia,カンケニルディア,Khankenirdia,坎克尼迪亚
30000057,Nikh,Nikh,Nikh,ニク,Nikh,尼克
30000058,Amphar,Amphar,Amphar,アムファー,Amphar,阿曼法尔
30000059,Salashayama,Salashayama,Salashayama,サラシャヤマ,Salashayama,萨拉莎亚玛
30000060,Janus,Janus,Janus,ジェイナス,Janus,加纳斯
30000061,Agha,Agha,Agha,アグハ,Agha,艾格哈
30000062,Iosantin,Iosantin,Iosantin,イオサンティン,Iosantin,艾萨恩汀
30000063,Orva,Orva,Orva,オルバ,Orva,欧尔瓦
30000064,Zet,Zet,Zet,ゼット,Zet,泽特
30000065,Akhrad,Akhrad,Akhrad,アクラド,Akhrad,埃克拉德
30000066,Pirohdim,Pirohdim,Pirohdim,ピローディム,Pirohdim,皮洛西丁
30000067,Sharir,Sharir,Sharir,シャリル,Sharir,沙日耳
30000068,Usroh,Usroh,Usroh,アスロー,Usroh,乌斯洛
30000069,Thiarer,Thiarer,Thiarer,シアラ,Thiarer,泰尔瑞尔
30000070,Gomati,Gomati,Gomati,ゴマティ,Gomati,格马提
30000071,Jangar,Jangar,Jangar,ジャンガー,Jangar,加恩加尔
30000072,Nakah,Nakah,Nakah,ナカー,Nakah,纳卡赫
30000073,Irshah,Irshah,Irshah,イルシャー,Irshah,伊列莎
30000074,Hasateem,Hasateem,Hasateem,ハサティーム,Hasateem,哈萨蒂姆
30000075,Assah,Assah,Assah,アッサー,Assah,艾沙哈
30000076,Tidacha,Tidacha,Tidacha,タイダチャ,Tidacha,提达查
30000077,Odlib,Odlib,Odlib,オドリブ,Odlib,欧迪博
30000078,Jofan,Jofan,Jofan,ジョファン,Jofan,乔法恩
30000079,Milu,Milu,Milu,ミル,Milu,米鲁
30000080,Yadi,Yadi,Yadi,ヤディ,Yadi,亚蒂
30000081,Buftiar,Buftiar,Buftiar,バフティア,Buftiar,布夫提亚
30000082,Jarizza,Jarizza,Jarizza,ジャリザ,Jarizza,贾日扎
30000083,Ejahi,Ejahi,Ejahi,エジャヒ,Ejahi,伊加西
30000084,Asghatil,Asghatil,Asghatil,アスガティル,Asghatil,埃斯格哈提尔
30000085,Bar,Bar,Bar,バー,Bar,巴尔
30000086,Sucha,Sucha,Sucha,スチャ,Sucha,苏查
30000087,Gelhan,Gelhan,Gelhan,ゲルハン,Gelhan,格汉
30000088,Akeva,Akeva,Akeva,アケバ,Akeva,阿克瓦
30000089,Sosa,Sosa,Sosa,ソサ,Sosa,索萨
30000090,Ilahed,Ilahed,Ilahed,イラエド,Ilahed,伊拉赫德
30000091,Eshwil,Eshwil,Eshwil,エシュウィル,Eshwil,厄什威尔
30000092,Aranir,Aranir,Aranir,アラニア,Aranir,阿拉尼尔
30000093,Ishkad,Ishkad,Ishkad,イシュカド,Ishkad,伊始卡德
30000094,Hahyil,Hahyil,Hahyil,ハヒル,Hahyil,哈希尔
30000095,Asilem,Asilem,Asilem,アシレム,Asilem,埃斯勒姆
30000096,Mahnagh,Mahnagh,Mahnagh,マーナフ,Mahnagh,曼那格
30000097,Shach,Shach,Shach,シャチ,Shach,莎彻
30000098,Kehrara,Kehrara,Kehrara,ケーララ,Kehrara,克拉拉
30000099,Arena,Arena,Arena,アリーナ,Arena,竞技场
30000100,Timeor,Timeor,Timeor,タイモア,Timeor,蒂梅尔
30000101,Uhtafal,Uhtafal,Uhtafal,ウータファル,Uhtafal,奥塔法
30000102,Dysa,Dysa,Dysa,ダイサ,Dysa,戴萨
30000103,Serad,Serad,Serad,セラド,Serad,瑟拉德
30000104,Mahti,Mahti,Mahti,マーティ,Mahti,马哈蒂
30000105,Abha,Abha,Abha,アバー,Abha,阿布哈
30000106,Shedoo,Shedoo,Shedoo,シェドゥ,Shedoo,舍多
30000107,Gamis,Gamis,Gamis,ガミス,Gamis,加密斯
